Heavy,Power,,,
Black,,,,
Heavy,Power,,,
Power,Melodic death,,,
Gothic,,,,
Funeral doom,Doom,,,
Groove heavy,,,,
Us power,,,,
Funeral doom,,,,
Black,,,,
Atmospheric black,,,,
Doom,Stoner,,,
Atmospheric black,Post-rock,Shoegaze,,
Gothic,,,,
Power,Speed,Thrash,,
Heavy,Thrash,,,
Atmospheric doom,Experimental doom,Jazz rock,,
Black,,,,
Thrash,,,,
Pagan thrash,,,,
Hard rock,Blues rock,,,
Industrial,,,,
Power,Heavy,,,
Progressive,,,,
Heavy,Progressive,,,
Progressive,Post-metal,,,
Black,,,,
Brutal death,,,,
Death,,,,
Black,,,,
Heavy,New wave of british heavy,,,
Speed,Power,Heavy,,
Hardcore,Death,,,
Funeral doom,Black,,,
J-rock,Power,,,
Viking black,,,,
Symphonic folk,,,,
Thrash,,,,
Melodic death,,,,
Thrash,,,,
Atmospheric doom,,,,
Power,,,,
Alternative thrash,Progressive,,,
Atmospheric black,Pagan black,,,
Death,,,,
Melodic death,Oriental folk,,,
Progressive,,,,
Symphonic,,,,
Progressive,Alternative,,,
Melodic thrash,Metalcore,,,
Heavy,,,,
Nu,Alternative,,,
Neoclassical heavy,Progressive,,,
Power,,,,
Doom,,,,
Math,Progressive metalcore,,,
Brutal death,,,,
Crossover thrash,Hardcore,Punk,,
Drone,Ambient,Shoegaze,,
Black,,,,
Heavy,,,,
Grindcore,,,,
Suomi,,,,
Avantgarde,Gothic,,,
Avantgarde,,,,
Technical death,,,,
Blackened folk,,,,
Melodic black,Melodic death,,,
Black,,,,
Heavy,,,,
Drone doom,Psychedelic stoner,,,
Deathcore,,,,
Heavy,,,,
Extreme power,Melodic death,,,
Heavy,Power,,,
Progressive power,,,,
Death,,,,
Extreme progressive,,,,
Heavy,,,,
Alternative,Progressive,,,
Groove metal,,,,
Viking black,,,,
Groove thrash,Hardcore,,,
Gothic,,,,
Atmospheric death,Technical death,,,
Black,Thrash,Death,,
Gothic,Gothic rock,,,
Thrash,,,,
Brutal death,Technical death,,,
Heavy,,,,
Melodic death,,,,
Funeral doom,,,,
Symphonic power,,,,
Melodic death,,,,
Hard rock,,,,
Doom,Atmospheric sludge,,,
Heavy,,,,
Viking folk,,,,
Melodic death,,,,
Death,Industrial,,,
Thrash,,,,
Heavy,Power,,,
Doom,Stoner,,,
Deathcore,,,,
Heavy,,,,
J-pop,Melodic death,,,
Progressive death,,,,
Thrash,Groove thrash,,,
Death,Thrash,,,
Power,,,,
Technical death,,,,
Black,Viking folk,,,
Progressive,Extreme power,,,
Nu,Alternative,,,
Progressive,Oriental folk,,,
Melodic black,,,,
Melodic progressive,,,,
Melodic black,Acoustic rock,Ambient,,
Symphonic black,Black,Folk,,
Doom,Psychedelic doom,,,
Power,,,,
Thrash,Progressive,Power,,
Melodic death,Progressive,Groove thrash,,
Death,,,,
Grindcore,,,,
Power,,,,
Deathcore,Symphonic,,,
Black,Gothic rock,,,
Heavy,Power,,,
Symphonic black,Gothic,,,
Melodic hard rock,Progressive hard rock,,,
Symphonic gothic,,,,
Symphonic gothic,Gothic rock,,,
Heavy,,,,
Progressive,,,,
New wave of british heavy,Thrash,Heavy,,
Black,,,,
Progressive,,,,
Glam,,,,
Nu,,,,
Black,,,,
Melodic death,Progressive,,,
Black,,,,
Death,Thrash,,,
